username,review,rating,date,app,cleaned_review,processed_review,sentiment,rating_sentiment
Nitu Singh,good 👍,4,2026-03-11 20:48:04,Swiggy,good,good,Positive,Positive
Sairam Sairam,good food delivery,2,2026-03-11 20:43:03,Swiggy,good food delivery,good food delivery,Positive,Negative
shaikh Awes,very bad delivery service it's take lots of time to deliver food it show 15 to 20 mint's and deliver after 1 hour very disappointing.,1,2026-03-11 20:42:06,Swiggy,very bad delivery service its take lots of time to deliver food it show  to  mints and deliver after  hour very disappointing,bad delivery service take lot time deliver food show mint deliver hour disappointing,Negative,Negative
shweta kale,excellent services 🤗❣️,5,2026-03-11 20:42:05,Swiggy,excellent services,excellent service,Positive,Positive
R. Raj,very nice,5,2026-03-11 20:41:45,Swiggy,very nice,nice,Positive,Positive
Abhishek Singh Rathod,i have chosen cash option and it placed the order. zomato is much better. same resturant same item zomato -184 Swiggy-224,1,2026-03-11 20:40:42,Swiggy,i have chosen cash option and it placed the order zomato is much better same resturant same item zomato  swiggy,chosen cash option placed order zomato much better resturant item zomato swiggy,Positive,Negative
Jolly Jolly,yummy,5,2026-03-11 20:39:56,Swiggy,yummy,yummy,Positive,Positive
d damodhar,late service,1,2026-03-11 20:39:11,Swiggy,late service,late service,Neutral,Negative
shambu singh kushwah,very good service,5,2026-03-11 20:38:36,Swiggy,very good service,good service,Positive,Positive
Dilip Dhande,good,5,2026-03-11 20:36:54,Swiggy,good,good,Positive,Positive
Namami Vashishtha,good,4,2026-03-11 20:36:43,Swiggy,good,good,Positive,Positive
Aura Sparky,wrong delivery time always delay,1,2026-03-11 20:35:16,Swiggy,wrong delivery time always delay,wrong delivery time always delay,Negative,Negative
Vikash Dubey,nice 👍,5,2026-03-11 20:29:49,Swiggy,nice,nice,Positive,Positive
Naveen Chaurasia,40 min bol ke 70 min m delivery..... order time 40 min kabhi km ni hota actual m kitna bhi time beet jaye,1,2026-03-11 20:27:15,Swiggy,min bol ke  min m delivery order time  min kabhi km ni hota actual m kitna bhi time beet jaye,min bol min delivery order time min kabhi hota actual kitna bhi time beet jaye,Neutral,Negative
Boopathi Selvam,very good,5,2026-03-11 20:27:06,Swiggy,very good,good,Positive,Positive
Deepu Dayanandan,vv good,5,2026-03-11 20:26:11,Swiggy,vv good,good,Positive,Positive
Kaluvala Santhosh,ok,4,2026-03-11 20:25:53,Swiggy,ok,ok,Neutral,Positive
Arat Nayak,not satisfied with Swiggy costomer care. kindly improve your help center 🙏🙏 otherwise Stop you feedback system😡😡😡🤬🤬🤬🤬🤬😡😡😡😡😡😡😡😡,1,2026-03-11 20:22:28,Swiggy,not satisfied with swiggy costomer care kindly improve your help center  otherwise stop you feedback system,satisfied swiggy costomer care kindly improve help center otherwise stop feedback system,Positive,Negative
Akash Gupta,very bad and pathetic service,1,2026-03-11 20:22:13,Swiggy,very bad and pathetic service,bad pathetic service,Negative,Negative
Vivek Kumar Nimesh,very nice 💯,5,2026-03-11 20:21:46,Swiggy,very nice,nice,Positive,Positive
Siddharth Rathod,late delivery,2,2026-03-11 20:20:01,Swiggy,late delivery,late delivery,Neutral,Negative
devarakonda saikrishna,nice,5,2026-03-11 20:19:40,Swiggy,nice,nice,Positive,Positive
Devanshu Singh,far better than zomato... also more economic than zomato,5,2026-03-11 20:18:01,Swiggy,far better than zomato also more economic than zomato,far better zomato also economic zomato,Positive,Positive
Rahul Pathak,this is good but take some more time to delivered,4,2026-03-11 20:17:55,Swiggy,this is good but take some more time to delivered,good take time delivered,Positive,Positive
Goutham Shetty Shetty,worst app whenever i order an item continuously 5 times out of stock waiting period too long should die with hunger uninstalled successfully,1,2026-03-11 20:15:40,Swiggy,worst app whenever i order an item continuously  times out of stock waiting period too long should die with hunger uninstalled successfully,worst app whenever order item continuously time stock waiting period long die hunger uninstalled successfully,Negative,Negative
vikas kamble,ok,5,2026-03-11 20:15:24,Swiggy,ok,ok,Neutral,Positive
Suraj Prakash,Good job,1,2026-03-11 20:14:56,Swiggy,good job,good job,Positive,Negative
Bodolla bharat bharat,super,5,2026-03-11 20:13:58,Swiggy,super,super,Positive,Positive
Krishi Jaiswal,worst app 0 rating worst experience worst customer service support no cancellation option and if cancelled they charge cancellation fee above 500 ewwwwwww 🤢🤢🤢🤮🤮🤮🤮,1,2026-03-11 20:13:30,Swiggy,worst app  rating worst experience worst customer service support no cancellation option and if cancelled they charge cancellation fee above  e,worst app rating worst experience worst customer service support cancellation option cancelled charge cancellation fee,Negative,Negative
Karan kumar,Good,5,2026-03-11 20:09:53,Swiggy,good,good,Positive,Positive
Senthi Senthi,it is very very good Swiggy is very helpfull,5,2026-03-11 20:09:46,Swiggy,it is very very good swiggy is very helpfull,good swiggy helpfull,Positive,Positive
Prasanth A P,"For more than a year, whenever I browse swiggy, initially, everything works. But within seconds, the app hangs. So my process is force quitting the app multiple times and reopening it again and again untill the order is placed. It happended on my old phone, and continued happening on my new phone so its not a phone issue. Also the page refreshes multiple times when browsing so if you have scrolled down a lot, you need to so it again. Also, items are wayy pricier than actual menu.",4,2026-03-11 20:09:06,Swiggy,for more than a year whenever i browse swiggy initially everything works but within seconds the app hangs so my process is force quitting the app multiple times and reopening it again and again untill the order is placed it happended on my old phone and continued happening on my new phone so its not a phone issue also the page refreshes multiple times when browsing so if you have scrolled down a lot you need to so it again also items are wayy pricier than actual menu,year whenever browse swiggy initially everything work within second app hang process force quitting app multiple time reopening untill order placed happended old phone continued happening new phone phone issue also page refreshes multiple time browsing scrolled lot need also item wayy pricier actual menu,Neutral,Positive
Putush K,in most of cases resturant describe the dishes misleading in quality and quantity.. and you are listed it on your platform..,1,2026-03-11 20:09:01,Swiggy,in most of cases resturant describe the dishes misleading in quality and quantity and you are listed it on your platform,case resturant describe dish misleading quality quantity listed platform,Negative,Negative
Milan Vishavadiya Vishavadiya Milan,nice 👍,5,2026-03-11 20:07:42,Swiggy,nice,nice,Positive,Positive
Kalyan Nunna,nice,4,2026-03-11 20:07:05,Swiggy,nice,nice,Positive,Positive
Kspattabiraman_sai,good,5,2026-03-11 20:06:09,Swiggy,good,good,Positive,Positive
Uk Yadav,nice,5,2026-03-11 20:04:14,Swiggy,nice,nice,Positive,Positive
Alexander D,not bad ok ok,3,2026-03-11 20:03:54,Swiggy,not bad ok ok,bad,Negative,Neutral
Imad Uddin,Zomato Se achcha swiggy hai,5,2026-03-11 20:03:28,Swiggy,zomato se achcha swiggy hai,zomato achcha swiggy hai,Neutral,Positive
Daksh2 Sangar,iam very disappointed from this app I have reported overcharging to a restaurant 5 months ago again and again nothing happened and no offers to expensive restaurants if there was 0 star rating I had give that zomato and other apps are better with offers,1,2026-03-11 19:59:09,Swiggy,iam very disappointed from this app i have reported overcharging to a restaurant  months ago again and again nothing happened and no offers to expensive restaurants if there was  star rating i had give that zomato and other apps are better with offers,iam disappointed app reported overcharging restaurant month ago nothing happened offer expensive restaurant star rating give zomato apps better offer,Negative,Negative
Vaka Naga hema,nice,5,2026-03-11 19:54:35,Swiggy,nice,nice,Positive,Positive
brashbhan yadav,good,5,2026-03-11 19:51:00,Swiggy,good,good,Positive,Positive
Eldhose kurian,tummy yummy,5,2026-03-11 19:49:41,Swiggy,tummy yummy,tummy yummy,Positive,Positive
Hemanth Sai teja,very good,5,2026-03-11 19:49:23,Swiggy,very good,good,Positive,Positive
Dr Devika S,love it,5,2026-03-11 19:47:10,Swiggy,love it,love,Positive,Positive
Arjun Sharma,Good,5,2026-03-11 19:45:50,Swiggy,good,good,Positive,Positive
Snega I,worst,1,2026-03-11 19:43:45,Swiggy,worst,worst,Negative,Negative
Manish Sherpa,Amazing indulgent sour dough pizza - great quality @ great price,5,2026-03-11 19:43:45,Swiggy,amazing indulgent sour dough pizza  great quality  great price,amazing indulgent sour dough pizza great quality great price,Positive,Positive
surendra singh,osm,4,2026-03-11 19:43:21,Swiggy,osm,osm,Neutral,Positive
Deboral Deboral,good,5,2026-03-11 19:42:59,Swiggy,good,good,Positive,Positive
Mobile World,good,4,2026-03-11 19:42:43,Swiggy,good,good,Positive,Positive
Pallavi Nigam,good service 👍,5,2026-03-11 19:41:31,Swiggy,good service,good service,Positive,Positive
Jagadeesh alugolu,better,3,2026-03-11 19:40:15,Swiggy,better,better,Positive,Neutral
sher singh,sher singh 👍,1,2026-03-11 19:38:54,Swiggy,sher singh,sher singh,Neutral,Negative
Punit Sharma,bad experience,1,2026-03-11 19:34:44,Swiggy,bad experience,bad experience,Negative,Negative
Monu kumar Sahni,I like it,5,2026-03-11 19:34:27,Swiggy,i like it,like,Positive,Positive
Chandra Sekhar A,Swiggy is manipulating the distance between our location and every restaurant by 4-5 kilometers extra for delivery fee. This is illegal. Anyone who face similar issue please upvote this comment.,1,2026-03-11 19:34:27,Swiggy,swiggy is manipulating the distance between our location and every restaurant by  kilometers extra for delivery fee this is illegal anyone who face similar issue please upvote this comment,swiggy manipulating distance location every restaurant kilometer extra delivery fee illegal anyone face similar issue please upvote comment,Negative,Negative
Asaf,osm,5,2026-03-11 19:29:54,Swiggy,osm,osm,Neutral,Positive
Chhotu Pal,very nice 🤠,4,2026-03-11 19:27:09,Swiggy,very nice,nice,Positive,Positive
Jatin Bedi,Swiggy social team is very active and gives right resolution in time.,5,2026-03-11 19:26:40,Swiggy,swiggy social team is very active and gives right resolution in time,swiggy social team active give right resolution time,Positive,Positive
OPARINO OFFICIAL,high price,3,2026-03-11 19:26:20,Swiggy,high price,high price,Neutral,Neutral
Lipika Sutar,good,5,2026-03-11 19:19:38,Swiggy,good,good,Positive,Positive
Navjan Khan,aachi chutela,5,2026-03-11 19:13:53,Swiggy,aachi chutela,aachi chutela,Neutral,Positive
aruna kumari,tooo good nice in time,5,2026-03-11 19:07:29,Swiggy,tooo good nice in time,tooo good nice time,Positive,Positive
Praveen kushwaha 9935144102,thank,5,2026-03-11 19:06:51,Swiggy,thank,thank,Positive,Positive
Bandana Mirdha,Nice app,4,2026-03-11 19:06:01,Swiggy,nice app,nice app,Positive,Positive
Raghu J,pathetic service,1,2026-03-11 19:04:00,Swiggy,pathetic service,pathetic service,Negative,Negative
Virat Vinayak,very good,5,2026-03-11 19:03:27,Swiggy,very good,good,Positive,Positive
Bheem Singh,good,1,2026-03-11 19:03:18,Swiggy,good,good,Positive,Negative
Pavan Kumar,supper😍,5,2026-03-11 19:01:59,Swiggy,supper,supper,Neutral,Positive
kanhu charan mohanty,nice 👍🙂,5,2026-03-11 19:00:18,Swiggy,nice,nice,Positive,Positive
Upendera Raghav,Mera order kahan per hai,1,2026-03-11 18:58:00,Swiggy,mera order kahan per hai,mera order kahan per hai,Neutral,Negative
aniket shende,good service,5,2026-03-11 18:51:09,Swiggy,good service,good service,Positive,Positive
Praveen S nair,good,5,2026-03-11 18:50:32,Swiggy,good,good,Positive,Positive
Nitin Nainwal,"Best discounts, fast delivery,",5,2026-03-11 18:45:37,Swiggy,best discounts fast delivery,best discount fast delivery,Positive,Positive
Vikas Singh,excellent,5,2026-03-11 18:42:13,Swiggy,excellent,excellent,Positive,Positive
Pradeep Verma,nice aap,5,2026-03-11 18:41:14,Swiggy,nice aap,nice aap,Positive,Positive
SHARADAMBA C,On time delivery,4,2026-03-11 18:39:21,Swiggy,on time delivery,time delivery,Neutral,Positive
Nmk Official,Good,5,2026-03-11 18:35:13,Swiggy,good,good,Positive,Positive
Shaikhsanabashumiya sana,it litle bit confusing but okay,3,2026-03-11 18:32:56,Swiggy,it litle bit confusing but okay,litle bit confusing okay,Neutral,Neutral
Chirag Mehndiratta,worst experience cold food delivered after 1 hr of order..never orders from swiggy,1,2026-03-11 18:32:09,Swiggy,worst experience cold food delivered after  hr of ordernever orders from swiggy,worst experience cold food delivered ordernever order swiggy,Negative,Negative
Om Thakur,my order is 29₹ after offer but platform fees and gst is 98₹ 😂😂,1,2026-03-11 18:31:43,Swiggy,my order is  after offer but platform fees and gst is,order offer platform fee gst,Neutral,Negative
Vitthal Hakke,nice 👍,4,2026-03-11 18:25:39,Swiggy,nice,nice,Positive,Positive
Gangadhar Kumar,good,4,2026-03-11 18:24:59,Swiggy,good,good,Positive,Positive
Ramalakshmi Nayagam,easy for anyone to order,5,2026-03-11 18:23:53,Swiggy,easy for anyone to order,easy anyone order,Positive,Positive
Prashanth K,super,4,2026-03-11 18:23:27,Swiggy,super,super,Positive,Positive
Sufiyaan Ahmed,all the price of dishes is way too costly,2,2026-03-11 18:22:49,Swiggy,all the price of dishes is way too costly,price dish way costly,Negative,Negative
Fai Zan,"I placed an order expecting reliable service, but Swiggy canceled it on their end without any valid reason. Despite being charged upfront, I've received zero refund even after multiple follow-ups.Their customer service is unresponsive—chats get closed abruptly, promises of resolution go unfulfilled, and generic replies waste time. This lack of accountability erodes trust; avoid Swiggy until they fix their refund and support process.",1,2026-03-11 18:21:29,Swiggy,i placed an order expecting reliable service but swiggy canceled it on their end without any valid reason despite being charged upfront ive received zero refund even after multiple followupstheir customer service is unresponsivechats get closed abruptly promises of resolution go unfulfilled and generic replies waste time this lack of accountability erodes trust avoid swiggy until they fix their refund and support process,placed order expecting reliable service swiggy canceled end without valid reason despite charged upfront ive received zero refund even multiple followupstheir customer service unresponsivechats get closed abruptly promise resolution unfulfilled generic reply waste time lack accountability erodes trust avoid swiggy fix refund support process,Negative,Negative
Akshay Paswan,wow,5,2026-03-11 18:19:45,Swiggy,wow,wow,Positive,Positive
Sonali Bhusagar,nice,5,2026-03-11 18:17:01,Swiggy,nice,nice,Positive,Positive
rokky raj licky 7,thank you,5,2026-03-11 18:13:11,Swiggy,thank you,thank,Positive,Positive
25BEN035 PRAKASH RAJ S K,good,5,2026-03-11 18:12:45,Swiggy,good,good,Positive,Positive
Asan Sabeera,nice,4,2026-03-11 18:08:22,Swiggy,nice,nice,Positive,Positive
VINITH R,Zomato biriyani price 140 and Swiggy biriyani price 160 same hotel 🤔,1,2026-03-11 18:05:47,Swiggy,zomato biriyani price  and swiggy biriyani price  same hotel,zomato biriyani price swiggy biriyani price hotel,Neutral,Negative
Anuj Biswas,takes more than an hour. horrible customer service,1,2026-03-11 18:03:48,Swiggy,takes more than an hour horrible customer service,take hour horrible customer service,Negative,Negative
Sagar Kumar,best service,5,2026-03-11 18:03:10,Swiggy,best service,best service,Positive,Positive
indumathi e s,Wat a cheap company has imolemented. They wnated customer to pay extra in name of swiggy Black and promise no clubbing order.but still end up clubbing orderd and deliver late by one hour. why does swiggy CEO cant earn money in fair means?? always scamm nd frauds???? sucha chepa company. dont pay for this extra swiggy black all. its waste of moeny,1,2026-03-11 18:00:58,Swiggy,wat a cheap company has imolemented they wnated customer to pay extra in name of swiggy black and promise no clubbing orderbut still end up clubbing orderd and deliver late by one hour why does swiggy ceo cant earn money in fair means always scamm nd frauds sucha chepa company dont pay for this extra swiggy black all its waste of moeny,wat cheap company imolemented wnated customer pay extra name swiggy black promise clubbing orderbut still end clubbing orderd deliver late one hour swiggy ceo cant earn money fair mean always scamm fraud sucha chepa company dont pay extra swiggy black waste moeny,Negative,Negative
Trisondhya Kashyap,good service I just loved it!🥰,5,2026-03-11 17:59:25,Swiggy,good service i just loved it,good service loved,Positive,Positive
Alfia Begum,good,5,2026-03-11 17:51:43,Swiggy,good,good,Positive,Positive
Lenminthang Kipgen,"First time ordered and very fast delivery, thanks 🙏",5,2026-03-11 17:51:20,Swiggy,first time ordered and very fast delivery thanks,first time ordered fast delivery thanks,Positive,Positive
PRATHAM SINGH,wowwww,5,2026-03-11 17:45:56,Swiggy,wo,wo,Neutral,Positive
Udeshwar Singh,thank you,5,2026-03-11 17:45:24,Swiggy,thank you,thank,Positive,Positive
Abhishek Barnwal,very good,5,2026-03-11 17:41:47,Swiggy,very good,good,Positive,Positive
Chandu gowda Pallavi,super,5,2026-03-11 17:38:19,Swiggy,super,super,Positive,Positive
Bhagavathi Saravanan,i think this is one of the cheapest and best option for food delivery.,5,2026-03-11 17:36:14,Swiggy,i think this is one of the cheapest and best option for food delivery,think one cheapest best option food delivery,Positive,Positive
Disha Chavan,very nice and good service,5,2026-03-11 17:33:57,Swiggy,very nice and good service,nice good service,Positive,Positive
Vikas Gowda,good,5,2026-03-11 17:29:42,Swiggy,good,good,Positive,Positive
Kumar Perumandla,ok,5,2026-03-11 17:18:44,Swiggy,ok,ok,Neutral,Positive
Mohit Kumar Kumar,ok,5,2026-03-11 17:17:16,Swiggy,ok,ok,Neutral,Positive
Parvez Ansari,nice,1,2026-03-11 17:16:44,Swiggy,nice,nice,Positive,Negative
Meenakshi Meenakshi,super,5,2026-03-11 17:16:35,Swiggy,super,super,Positive,Positive
Ravi Prakash Bansal,Swiggy only interested in taking platform fee for ZERO service.. order delivery time is false...order not delivered even after that time...I Waited long...No one to address problem...feels hopeless... nothing helped with your reply... disappointed,1,2026-03-11 17:08:40,Swiggy,swiggy only interested in taking platform fee for zero service order delivery time is falseorder not delivered even after that timei waited longno one to address problemfeels hopeless nothing helped with your reply disappointed,swiggy interested taking platform fee zero service order delivery time falseorder delivered even timei waited longno one address problemfeels hopeless nothing helped reply disappointed,Positive,Negative
Rahul Das,good,5,2026-03-11 17:00:01,Swiggy,good,good,Positive,Positive
B THIRUPATHI,Excellent,5,2026-03-11 16:56:49,Swiggy,excellent,excellent,Positive,Positive
Krishan Gupta,This is the best platform to order any food items,5,2026-03-11 16:56:07,Swiggy,this is the best platform to order any food items,best platform order food item,Positive,Positive
Utpal Baishya,very nice,5,2026-03-11 16:49:42,Swiggy,very nice,nice,Positive,Positive
Sundar Hansdah,very bed,1,2026-03-11 16:39:57,Swiggy,very bed,bed,Neutral,Negative
Adithya Thakur,Don't use this app my earnings were not transferred to my account the Swiggy team is also not helping about that issue,1,2026-03-11 16:38:56,Swiggy,dont use this app my earnings were not transferred to my account the swiggy team is also not helping about that issue,dont use app earnings transferred account swiggy team also helping issue,Positive,Negative
Anushka Rajbhar,not good 👎,1,2026-03-11 16:36:53,Swiggy,not good,good,Positive,Negative
Anmol Thakur,nice platform,5,2026-03-11 16:34:23,Swiggy,nice platform,nice platform,Positive,Positive
Yadav Yadav,nice,5,2026-03-11 16:33:59,Swiggy,nice,nice,Positive,Positive
Vishal Nauhwar,the delivery time goes on increasing and increasing,1,2026-03-11 16:33:19,Swiggy,the delivery time goes on increasing and increasing,delivery time go increasing increasing,Neutral,Negative
Movies Now,worst time waste ever,1,2026-03-11 16:32:28,Swiggy,worst time waste ever,worst time waste ever,Negative,Negative
Najma Shaik,Nice,5,2026-03-11 16:16:41,Swiggy,nice,nice,Positive,Positive
Suman Bansal,Swiggy is best for best offers,3,2026-03-11 16:12:35,Swiggy,swiggy is best for best offers,swiggy best best offer,Positive,Neutral
Kladius,Promos and CC offers doesn't work,1,2026-03-11 16:09:40,Swiggy,promos and cc offers doesnt work,promos offer doesnt work,Neutral,Negative
Shubham shukla,worst service in the name of food delivery. Swiggy should be no longer operated. if you have any issues then they will try to give you the coupon,1,2026-03-11 15:59:23,Swiggy,worst service in the name of food delivery swiggy should be no longer operated if you have any issues then they will try to give you the coupon,worst service name food delivery swiggy longer operated issue try give coupon,Negative,Negative
Jini Parmar,nice and reliable app,5,2026-03-11 15:58:49,Swiggy,nice and reliable app,nice reliable app,Positive,Positive
Chandrakanth S.V,Good staff and early delivery,4,2026-03-11 15:55:30,Swiggy,good staff and early delivery,good staff early delivery,Positive,Positive
Henil Patel,best partner,5,2026-03-11 15:50:58,Swiggy,best partner,best partner,Positive,Positive
Brajamohan Das,lovely,5,2026-03-11 15:50:18,Swiggy,lovely,lovely,Positive,Positive
Apoorv Dwivedi,Nice🙌🏻,5,2026-03-11 15:46:24,Swiggy,nice,nice,Positive,Positive
Nazima Nazima,nice,5,2026-03-11 15:45:31,Swiggy,nice,nice,Positive,Positive
Ravindra Supalkar,good,5,2026-03-11 15:43:45,Swiggy,good,good,Positive,Positive
Nikita Raval,good service 👍,5,2026-03-11 15:43:26,Swiggy,good service,good service,Positive,Positive
Tejas Dhedhi,very nice application,5,2026-03-11 15:27:51,Swiggy,very nice application,nice application,Positive,Positive
Dhananjay Yadav,good,2,2026-03-11 15:23:03,Swiggy,good,good,Positive,Negative
Aravind Sedhu,fraud company I will order 3 product but they give 1 product I can't connect help centre I will not get refund,1,2026-03-11 15:22:03,Swiggy,fraud company i will order  product but they give  product i cant connect help centre i will not get refund,fraud company order product give product cant connect help centre get refund,Negative,Negative
Akila Kodhandapanni,worst,1,2026-03-11 15:20:44,Swiggy,worst,worst,Negative,Negative
Qurshed Ahmed,gud,3,2026-03-11 15:20:01,Swiggy,gud,gud,Neutral,Neutral
Ashutosh Kumar,bad,1,2026-03-11 15:18:38,Swiggy,bad,bad,Negative,Negative
prem._2324,Order are not Time to Time delivered 😭,2,2026-03-11 15:13:49,Swiggy,order are not time to time delivered,order time time delivered,Neutral,Negative
Vikas Kalal,best app,5,2026-03-11 15:10:55,Swiggy,best app,best app,Positive,Positive
Ajay Kumar,fast delivery,5,2026-03-11 15:08:11,Swiggy,fast delivery,fast delivery,Neutral,Positive
Shiva Doom,nice time to food delivery,5,2026-03-11 15:04:29,Swiggy,nice time to food delivery,nice time food delivery,Positive,Positive
Kaushik Kaushik,beautiful,5,2026-03-11 15:01:58,Swiggy,beautiful,beautiful,Positive,Positive
Ravi Tiwari,good👍😊,5,2026-03-11 14:55:47,Swiggy,good,good,Positive,Positive
Abhishek Gupta,good,3,2026-03-11 14:50:13,Swiggy,good,good,Positive,Neutral
Cat Teju,good,5,2026-03-11 14:49:49,Swiggy,good,good,Positive,Positive
Phiroz Kharwanwalla,good,5,2026-03-11 14:45:21,Swiggy,good,good,Positive,Positive
AAMIR khan,v good,5,2026-03-11 14:42:28,Swiggy,v good,good,Positive,Positive
kartik kumar,bekar app hai mere paise refund nhi kiye or app me dikhaye ki ho gye hai or koi response bhi nhi krta bekar app hai,1,2026-03-11 14:40:01,Swiggy,bekar app hai mere paise refund nhi kiye or app me dikhaye ki ho gye hai or koi response bhi nhi krta bekar app hai,bekar app hai mere paisa refund nhi kiye app dikhaye gye hai koi response bhi nhi krta bekar app hai,Neutral,Negative
Gaurav singh,"absolute terrible service, my refund was not received yet and nobody fix it",1,2026-03-11 14:38:17,Swiggy,absolute terrible service my refund was not received yet and nobody fix it,absolute terrible service refund received yet nobody fix,Negative,Negative
Kalmelesh Gup5,a complete waste of time delays bad service and very poor experience fake app,1,2026-03-11 14:37:22,Swiggy,a complete waste of time delays bad service and very poor experience fake app,complete waste time delay bad service poor experience fake app,Negative,Negative
Md zubair Mehdi,hidden charges applied now better to leave this app..,1,2026-03-11 14:37:01,Swiggy,hidden charges applied now better to leave this app,hidden charge applied better leave app,Positive,Negative
Sarfraj Alam,"slow, unreliable and so much frustrating never using this app again",1,2026-03-11 14:36:23,Swiggy,slow unreliable and so much frustrating never using this app again,slow unreliable much frustrating never using app,Negative,Negative
Vijitha Mahendra,to much delivery charges,3,2026-03-11 14:35:26,Swiggy,to much delivery charges,much delivery charge,Neutral,Neutral
Pinku Modi,mast,5,2026-03-11 14:29:28,Swiggy,mast,mast,Neutral,Positive
Priyanshu Kumar,good,5,2026-03-11 14:28:50,Swiggy,good,good,Positive,Positive
Aswin Anilkumar,"really poor delivery times, deceptive/dark patterns",1,2026-03-11 14:27:37,Swiggy,really poor delivery times deceptivedark patterns,really poor delivery time deceptivedark pattern,Negative,Negative
Nirmal Raj,"worst experience, mentioned i will receive my order in 15-20 mins, more than 1 hour waited no proper response from the delivery guy or the customer support",1,2026-03-11 14:24:19,Swiggy,worst experience mentioned i will receive my order in  mins more than  hour waited no proper response from the delivery guy or the customer support,worst experience mentioned receive order min hour waited proper response delivery guy customer support,Negative,Negative
vaitheeshwaran,The delivery is good but the prediction of the time of delivery needs to be considered.,4,2026-03-11 14:23:39,Swiggy,the delivery is good but the prediction of the time of delivery needs to be considered,delivery good prediction time delivery need considered,Positive,Positive
shippu dhall,awesome,5,2026-03-11 14:20:17,Swiggy,awesome,awesome,Positive,Positive
Santhosh Kumar,good,5,2026-03-11 14:20:00,Swiggy,good,good,Positive,Positive
Kukil Nath,Nice But Amount is High 😭😭 People Like Us Have to Think A Hundred Time To Eat 😞😞😞,5,2026-03-11 14:19:13,Swiggy,nice but amount is high  people like us have to think a hundred time to eat,nice amount high people like think hundred time eat,Positive,Positive
Shaheena Akhtari,very good,5,2026-03-11 14:19:02,Swiggy,very good,good,Positive,Positive
Kishan Sanapala,worst experience with delivery partner,1,2026-03-11 14:15:30,Swiggy,worst experience with delivery partner,worst experience delivery partner,Negative,Negative
Dhwanit Tyagi,Nice,5,2026-03-11 14:14:06,Swiggy,nice,nice,Positive,Positive
ashfaq khan khan,good,1,2026-03-11 14:12:25,Swiggy,good,good,Positive,Negative
Kumari Anjali Mishra,food quality is good,5,2026-03-11 14:11:48,Swiggy,food quality is good,food quality good,Positive,Positive
Anurag Singh,mast,5,2026-03-11 14:10:55,Swiggy,mast,mast,Neutral,Positive
NANDINI KALWAR,Nice,5,2026-03-11 14:07:45,Swiggy,nice,nice,Positive,Positive
Prasobh Prakashan,good ad,3,2026-03-11 14:07:35,Swiggy,good ad,good,Positive,Neutral
Yash Gholap,good,1,2026-03-11 14:06:47,Swiggy,good,good,Positive,Negative
Rajesh Shee,good,5,2026-03-11 14:05:53,Swiggy,good,good,Positive,Positive
GANESH CHAVAN,ok,5,2026-03-11 14:04:05,Swiggy,ok,ok,Neutral,Positive
Hari Prasanth1649,its were disappoint to use this app lot of scam on bill if we apply discount also its not applying while ordering food after placing order & their is no parking for the restoration and no platform fee for the restoration and they r applying that to its making to cost for the bill from price of the food too too worst of using this app doing scam of delivering food..not even worth of using it please uninstall this waste of money,1,2026-03-11 13:57:45,Swiggy,its were disappoint to use this app lot of scam on bill if we apply discount also its not applying while ordering food after placing order  their is no parking for the restoration and no platform fee for the restoration and they r applying that to its making to cost for the bill from price of the food too too worst of using this app doing scam of delivering foodnot even worth of using it please uninstall this waste of money,disappoint use app lot scam bill apply discount also applying ordering food placing order parking restoration platform fee restoration applying making cost bill price food worst using app scam delivering foodnot even worth using please uninstall waste money,Negative,Negative
Ajay Pandey,I can still leave a review after the order is delivered.,4,2026-03-11 13:57:02,Swiggy,i can still leave a review after the order is delivered,still leave review order delivered,Negative,Positive
Kumar Vaibhav,"Your Swiggy app is absolutely terrible. My orders have been cancelled multiple times, yet every single time the money gets deducted from my account immediately. Then you take an unreasonable amount of time to return the refund, as if customers should be grateful for getting their own money back. On top of that, there is no proper customer care number to contact when something goes wrong. Even worse, whenever an order gets cancelled, the coupon that was applied is not returned either.",1,2026-03-11 13:55:23,Swiggy,your swiggy app is absolutely terrible my orders have been cancelled multiple times yet every single time the money gets deducted from my account immediately then you take an unreasonable amount of time to return the refund as if customers should be grateful for getting their own money back on top of that there is no proper customer care number to contact when something goes wrong even worse whenever an order gets cancelled the coupon that was applied is not returned either,swiggy app absolutely terrible order cancelled multiple time yet every single time money get deducted account immediately take unreasonable amount time return refund customer grateful getting money back top proper customer care number contact something go wrong even worse whenever order get cancelled coupon applied returned either,Negative,Negative
Thakur Rajmani Srivastava,It is very bad it takes extra rupees for fast service but it comes very late,1,2026-03-11 13:54:19,Swiggy,it is very bad it takes extra rupees for fast service but it comes very late,bad take extra rupee fast service come late,Negative,Negative
Abhishek Verma,ok ok overall,5,2026-03-11 13:50:58,Swiggy,ok ok overall,overall,Neutral,Positive
Sameer Khan,my favourite food apps 😍,5,2026-03-11 13:48:28,Swiggy,my favourite food apps,favourite food apps,Neutral,Positive
